txid,input_wallet,output_wallet,amount,fee,script_type,pattern_label,timestamp_tx,timestamp_obs,src_ip,dst_ip,src_port,dst_port,observation_delay_ms
TX_000001,wallet_082,wallet_015,0.05876222,6.308e-05,P2PKH,normal,2026-03-01 00:09:33,2026-03-01 00:09:33.075,198.40.96.196,45.253.21.219,57176,8333,75.0
TX_000002,wallet_029,wallet_018,0.32715625,0.00126333,P2SH,normal,2026-03-01 00:13:06,2026-03-01 00:13:06.742,198.40.96.196,13.93.57.36,52000,8333,742.0
TX_000003,wallet_070,wallet_012,0.31187574,0.00098357,P2PKH,normal,2026-03-01 00:14:27,2026-03-01 00:14:27.080,104.144.51.184,13.21.142.76,56775,8333,80.0
TX_000004,wallet_012,wallet_028,0.75022534,0.00098031,P2SH,normal,2026-03-01 00:39:14,2026-03-01 00:39:14.624,45.207.12.187,45.216.164.130,62898,8333,624.0
TX_000005,wallet_072,wallet_026,0.11113009,0.00045101,P2SH,normal,2026-03-01 00:39:48,2026-03-01 00:39:48.334,172.7.190.71,104.154.83.126,54383,8333,334.0
TX_000005,wallet_072,wallet_026,0.11113009,0.00045101,P2SH,normal,2026-03-01 00:39:48,2026-03-01 00:39:48.732,45.253.21.219,45.40.56.246,56207,18332,732.0
TX_000005,wallet_072,wallet_026,0.11113009,0.00045101,P2SH,normal,2026-03-01 00:39:48,2026-03-01 00:39:48.886,104.144.51.184,198.176.84.216,52321,8333,886.0
TX_000005,wallet_072,wallet_026,0.11113009,0.00045101,P2SH,normal,2026-03-01 00:39:48,2026-03-01 00:39:49.288,13.153.120.136,172.12.170.59,50575,8333,1288.0
TX_000005,wallet_072,wallet_026,0.11113009,0.00045101,P2SH,normal,2026-03-01 00:39:48,2026-03-01 00:39:49.887,45.208.223.2,198.176.84.216,51734,8333,1887.0
TX_000006,wallet_054,wallet_029,0.11881308,0.0003234,P2PKH,normal,2026-03-01 00:44:01,2026-03-01 00:44:01.420,172.40.161.41,45.207.12.187,51431,8333,420.0
TX_000006,wallet_054,wallet_029,0.11881308,0.0003234,P2PKH,normal,2026-03-01 00:44:01,2026-03-01 00:44:01.703,104.154.83.126,198.222.26.98,51766,8332,703.0
TX_000006,wallet_054,wallet_029,0.11881308,0.0003234,P2PKH,normal,2026-03-01 00:44:01,2026-03-01 00:44:02.142,45.253.21.219,13.227.235.165,61106,8333,1142.0
TX_000006,wallet_054,wallet_029,0.11881308,0.0003234,P2PKH,normal,2026-03-01 00:44:01,2026-03-01 00:44:02.555,52.138.32.250,52.1.245.185,57900,8333,1555.0
