ip_address,in_degree,out_degree,total_degree,degree_centrality,pagerank,betweenness_centrality
104.144.51.184,42,32,74,1.081633,0.027465,0.01722
198.176.84.216,38,32,70,1.0,0.025964,0.013169
13.93.57.36,41,32,73,1.040816,0.025864,0.015584
198.172.69.180,39,31,70,0.959184,0.025276,0.012108
45.254.237.164,37,22,59,0.938776,0.023632,0.011655
104.24.56.60,34,24,58,0.938776,0.023174,0.012469
45.117.163.214,35,30,65,0.938776,0.022883,0.011519
104.175.185.30,34,21,55,0.918367,0.022804,0.010925
104.154.83.126,34,39,73,0.979592,0.022607,0.013889
45.197.165.88,34,36,70,1.040816,0.022555,0.015088
52.24.194.13,34,29,63,0.959184,0.022472,0.012715
185.55.168.128,31,31,62,0.918367,0.021528,0.011623
45.249.129.196,32,31,63,0.918367,0.021493,0.012038
172.92.217.89,32,24,56,0.836735,0.021457,0.009113
104.59.211.9,32,25,57,0.836735,0.020984,0.009847
45.40.56.246,33,34,67,0.959184,0.020979,0.012187
185.103.69.17,34,29,63,0.857143,0.020825,0.009376
13.21.142.76,32,22,54,0.816327,0.020743,0.007969
192.179.109.88,30,30,60,0.959184,0.020631,0.012656
172.174.190.229,31,33,64,1.0,0.020498,0.014138
45.216.164.130,32,34,66,0.959184,0.020486,0.011218
172.156.163.44,29,32,61,0.938776,0.020162,0.012376
52.1.245.185,28,43,71,1.122449,0.019728,0.01681
185.42.95.91,29,35,64,0.877551,0.019725,0.01101
192.130.234.28,28,38,66,1.061224,0.019569,0.016386
198.222.26.98,30,28,58,0.897959,0.019515,0.010532
13.227.235.165,29,34,63,0.979592,0.019347,0.011787
185.148.50.181,29,39,68,1.081633,0.019345,0.015565
13.153.17.99,30,23,53,0.693878,0.019249,0.005913
198.40.96.196,29,33,62,0.918367,0.019225,0.01118
52.138.32.250,28,31,59,0.857143,0.019143,0.009571
45.208.223.2,31,33,64,1.061224,0.019115,0.014476
45.192.150.110,29,24,53,0.836735,0.019109,0.00819
172.40.161.41,27,35,62,0.979592,0.019035,0.012795
172.7.190.71,27,23,50,0.734694,0.019021,0.007684
198.191.144.138,26,32,58,0.918367,0.018128,0.012032
172.152.109.9,26,27,53,0.877551,0.018083,0.010861
172.12.170.59,26,29,55,0.857143,0.018053,0.00934
45.249.142.221,27,24,51,0.77551,0.017889,0.008121
198.42.119.98,28,30,58,0.897959,0.017884,0.009051
45.207.12.187,27,24,51,0.877551,0.017648,0.009895
13.153.120.136,25,31,56,0.77551,0.017377,0.007464
192.139.245.200,25,25,50,0.836735,0.016948,0.009498
198.58.36.189,24,30,54,0.877551,0.016555,0.010767
198.234.242.146,23,30,53,0.897959,0.016508,0.010719
45.253.21.219,25,27,52,0.77551,0.016403,0.007749
172.76.112.41,23,26,49,0.816327,0.016081,0.008884
13.57.115.151,24,34,58,0.979592,0.015874,0.012185
52.37.68.36,23,28,51,0.836735,0.015777,0.008771
185.27.24.98,21,28,49,0.816327,0.015181,0.009356
