txid,timestamp,input_wallet,output_wallet,amount,fee,fee_ratio,script_type,pattern_label,network_observation_count,unique_src_ips,unique_dst_ips,unique_ips,avg_observation_delay_ms,min_observation_delay_ms,max_observation_delay_ms
TX_000001,2026-03-01 00:09:33,wallet_082,wallet_015,0.05876222,6.308e-05,0.00107348,P2PKH,normal,1,1,1,2,75.0,75.0,75.0
TX_000002,2026-03-01 00:13:06,wallet_029,wallet_018,0.32715625,0.00126333,0.00386155,P2SH,normal,1,1,1,2,742.0,742.0,742.0
TX_000003,2026-03-01 00:14:27,wallet_070,wallet_012,0.31187574,0.00098357,0.00315372,P2PKH,normal,1,1,1,2,80.0,80.0,80.0
TX_000004,2026-03-01 00:39:14,wallet_012,wallet_028,0.75022534,0.00098031,0.00130669,P2SH,normal,1,1,1,2,624.0,624.0,624.0
TX_000005,2026-03-01 00:39:48,wallet_072,wallet_026,0.11113009,0.00045101,0.0040584,P2SH,normal,5,5,4,9,1025.4,334.0,1887.0
TX_000006,2026-03-01 00:44:01,wallet_054,wallet_029,0.11881308,0.0003234,0.00272192,P2PKH,normal,5,5,5,10,1224.8,420.0,2304.0
TX_000007,2026-03-01 00:51:26,wallet_001,wallet_098,0.00970554,8.929e-05,0.0091999,P2SH,normal,2,2,2,4,594.0,217.0,971.0
TX_000008,2026-03-01 00:58:29,wallet_044,wallet_036,0.6979859,0.00065156,0.00093349,P2WPKH,normal,1,1,1,2,284.0,284.0,284.0
TX_000009,2026-03-01 01:17:34,wallet_044,wallet_014,0.1334998,0.00012402,0.00092899,P2PKH,normal,2,2,2,4,857.5,630.0,1085.0
TX_000010,2026-03-01 01:26:51,wallet_045,wallet_078,0.09154833,0.00017782,0.00194236,P2PKH,normal,2,2,2,4,834.0,624.0,1044.0
TX_000011,2026-03-01 01:39:11,wallet_059,wallet_069,0.10483475,0.00012461,0.00118863,P2WPKH,normal,1,1,1,2,162.0,162.0,162.0
TX_000012,2026-03-01 01:53:47,wallet_011,wallet_071,0.45715378,0.00075245,0.00164595,P2SH,normal,4,4,4,8,1239.75,660.0,1754.0
TX_000454,2026-03-01 01:58:00,wallet_072,wallet_026,887.62157421,0.03536492,3.984e-05,P2SH,high_value_anomaly,4,4,4,8,954.0,302.0,1505.0
TX_000013,2026-03-01 02:11:54,wallet_047,wallet_074,0.25837662,0.00031928,0.00123572,P2PKH,normal,1,1,1,2,789.0,789.0,789.0
TX_000014,2026-03-01 02:15:48,wallet_085,wallet_030,0.12020907,0.00051738,0.004304,P2WPKH,normal,1,1,1,2,690.0,690.0,690.0
TX_000015,2026-03-01 02:17:18,wallet_030,wallet_013,0.10857603,0.00026309,0.00242309,P2PKH,normal,2,2,2,4,877.0,602.0,1152.0
TX_000016,2026-03-01 02:19:31,wallet_047,wallet_021,0.6955362,0.00138118,0.00198578,P2PKH,normal,2,2,2,4,382.5,109.0,656.0
TX_000017,2026-03-01 02:42:44,wallet_035,wallet_090,0.06548968,0.00035712,0.00545307,P2SH,normal,4,4,4,8,1621.5,612.0,2319.0
TX_000018,2026-03-01 02:56:34,wallet_078,wallet_082,0.18376335,0.00022248,0.00121069,P2SH,normal,5,5,5,10,1631.0,617.0,2654.0
TX_000019,2026-03-01 02:57:25,wallet_021,wallet_060,0.16942574,0.00038196,0.00225444,P2WPKH,normal,4,3,4,7,992.25,244.0,1586.0
TX_000020,2026-03-01 03:19:18,wallet_082,wallet_089,0.3560154,0.00105719,0.00296951,P2SH,normal,2,2,2,4,545.5,482.0,609.0
TX_000021,2026-03-01 03:26:56,wallet_099,wallet_100,6.25871974,0.00239136,0.00038208,P2WPKH,normal,5,5,5,9,972.8,65.0,1745.0
TX_000022,2026-03-01 03:31:11,wallet_041,wallet_052,0.93460404,0.0013696,0.00146543,P2PKH,normal,1,1,1,2,101.0,101.0,101.0
TX_000023,2026-03-01 04:41:12,wallet_073,wallet_092,0.29006971,0.00052627,0.00181429,P2SH,normal,5,5,5,9,825.8,132.0,1923.0
TX_000459,2026-03-01 05:32:00,wallet_071,wallet_038,1012.34513068,0.03130747,3.093e-05,P2SH,high_value_anomaly,4,4,4,8,1506.5,683.0,2341.0
TX_000024,2026-03-01 05:32:21,wallet_051,wallet_083,0.64282243,0.00155959,0.00242616,P2PKH,normal,3,3,3,6,1164.67,518.0,1772.0
TX_000025,2026-03-01 05:34:22,wallet_032,wallet_096,0.06647679,0.00023951,0.00360291,P2PKH,normal,3,3,3,6,882.67,341.0,1247.0
TX_000461,2026-03-01 05:36:00,wallet_030,wallet_013,518.13884754,0.0232171,4.481e-05,P2SH,high_value_anomaly,3,3,3,6,874.33,739.0,1006.0
TX_000026,2026-03-01 05:40:51,wallet_075,wallet_055,0.03337484,0.00020016,0.00599733,P2PKH,normal,2,2,2,4,457.0,328.0,586.0
