wallet_id,in_degree,out_degree,total_degree,degree_centrality,pagerank,betweenness_centrality
wallet_036,8,7,15,0.141414,0.059705,0.035964
wallet_020,8,3,11,0.090909,0.056256,0.01435
wallet_010,6,5,11,0.10101,0.030622,0.030925
wallet_078,7,6,13,0.111111,0.030086,0.029147
wallet_019,6,3,9,0.090909,0.028418,0.025457
wallet_034,5,25,30,0.272727,0.028342,0.079961
wallet_035,2,3,5,0.050505,0.02805,0.010597
wallet_049,7,3,10,0.10101,0.027301,0.014321
wallet_055,10,9,19,0.171717,0.02389,0.046138
wallet_076,7,3,10,0.10101,0.023286,0.027786
wallet_044,3,9,12,0.090909,0.022254,0.01315
wallet_095,3,6,9,0.090909,0.018536,0.014357
wallet_052,7,7,14,0.141414,0.018011,0.053005
wallet_004,5,7,12,0.111111,0.017683,0.028463
wallet_001,8,4,12,0.121212,0.017542,0.028865
wallet_028,3,6,9,0.090909,0.016609,0.036468
wallet_008,7,3,10,0.10101,0.016101,0.01334
wallet_030,5,8,13,0.111111,0.01512,0.040077
wallet_013,7,7,14,0.121212,0.015112,0.022229
wallet_100,7,5,12,0.121212,0.014745,0.032916
wallet_088,4,10,14,0.141414,0.013541,0.023943
wallet_094,8,2,10,0.090909,0.011895,0.012835
wallet_059,8,5,13,0.121212,0.011616,0.041897
wallet_061,6,6,12,0.111111,0.01156,0.028173
wallet_097,7,4,11,0.111111,0.011445,0.017964
wallet_079,5,3,8,0.080808,0.011157,0.009942
wallet_015,10,7,17,0.141414,0.010781,0.032937
wallet_050,3,6,9,0.090909,0.01015,0.020232
wallet_062,6,1,7,0.070707,0.010113,0.006991
wallet_009,7,2,9,0.090909,0.010013,0.016643
wallet_033,7,1,8,0.080808,0.00986,0.005562
wallet_024,4,4,8,0.080808,0.00979,0.020041
wallet_041,3,5,8,0.080808,0.009586,0.020363
wallet_054,5,10,15,0.151515,0.009423,0.046921
wallet_029,8,8,16,0.151515,0.009421,0.060966
wallet_069,5,5,10,0.090909,0.009182,0.014636
wallet_089,6,5,11,0.10101,0.008723,0.014748
wallet_087,9,4,13,0.111111,0.008568,0.020642
wallet_090,6,9,15,0.151515,0.008368,0.050821
wallet_066,4,1,5,0.050505,0.008323,0.002345
wallet_093,5,5,10,0.090909,0.008294,0.032127
wallet_021,5,4,9,0.080808,0.008238,0.015785
wallet_058,8,3,11,0.10101,0.008232,0.017979
wallet_085,6,4,10,0.10101,0.008079,0.029949
wallet_039,4,3,7,0.070707,0.008002,0.015242
wallet_070,4,7,11,0.111111,0.007832,0.022369
wallet_046,6,6,12,0.121212,0.007357,0.023779
wallet_080,8,2,10,0.10101,0.006851,0.009624
wallet_096,6,6,12,0.111111,0.006846,0.027451
wallet_064,3,3,6,0.060606,0.006837,0.00485
wallet_037,6,13,19,0.181818,0.006766,0.051036
wallet_007,6,6,12,0.111111,0.006705,0.015988
wallet_056,4,3,7,0.070707,0.006294,0.012846
wallet_016,3,3,6,0.050505,0.006273,0.006534
wallet_047,7,6,13,0.131313,0.006258,0.027881
wallet_011,6,7,13,0.131313,0.006224,0.031784
wallet_031,10,3,13,0.131313,0.006101,0.017111
wallet_060,5,7,12,0.121212,0.00608,0.028475
wallet_017,3,4,7,0.070707,0.006005,0.009349
wallet_091,1,2,3,0.030303,0.005703,0.001407
wallet_038,5,3,8,0.080808,0.005658,0.02686
wallet_005,4,4,8,0.080808,0.005582,0.014166
wallet_006,4,9,13,0.121212,0.00549,0.02502
wallet_077,4,4,8,0.080808,0.005243,0.008711
wallet_092,6,2,8,0.080808,0.005169,0.017245
wallet_012,6,8,14,0.141414,0.00504,0.034435
wallet_025,5,4,9,0.090909,0.005026,0.036978
wallet_082,4,9,13,0.121212,0.004896,0.027899
wallet_071,9,2,11,0.10101,0.004753,0.008306
wallet_053,2,7,9,0.090909,0.004717,0.011584
wallet_026,2,4,6,0.050505,0.004679,0.002456
wallet_022,3,3,6,0.060606,0.004531,0.005092
wallet_057,6,6,12,0.111111,0.004319,0.020529
wallet_045,5,3,8,0.080808,0.004224,0.011984
wallet_003,4,3,7,0.070707,0.004086,0.008527
wallet_098,6,4,10,0.10101,0.00386,0.017128
wallet_023,5,6,11,0.111111,0.00385,0.028297
wallet_048,4,3,7,0.070707,0.003827,0.005015
wallet_063,7,3,10,0.10101,0.003785,0.023695
wallet_072,6,5,11,0.090909,0.003753,0.025689
wallet_043,4,6,10,0.10101,0.003746,0.024867
wallet_065,4,7,11,0.111111,0.003644,0.026769
wallet_074,4,5,9,0.090909,0.003635,0.013316
wallet_027,2,2,4,0.040404,0.003484,0.001248
wallet_042,3,8,11,0.111111,0.003395,0.022586
wallet_075,1,7,8,0.070707,0.003392,0.006315
wallet_086,6,4,10,0.10101,0.003243,0.02768
wallet_073,5,2,7,0.070707,0.003189,0.011483
wallet_099,2,3,5,0.050505,0.003114,0.002909
wallet_051,3,4,7,0.070707,0.003106,0.020573
wallet_040,5,7,12,0.111111,0.003096,0.020461
wallet_014,5,7,12,0.111111,0.003056,0.020682
wallet_068,2,8,10,0.10101,0.00279,0.012768
wallet_067,3,3,6,0.060606,0.002762,0.01346
wallet_032,4,3,7,0.070707,0.002624,0.020737
wallet_081,5,4,9,0.090909,0.002218,0.01539
wallet_083,1,2,3,0.030303,0.002188,0.000497
wallet_018,4,6,10,0.090909,0.001619,0.018518
wallet_002,1,4,5,0.050505,0.001545,0.006566
wallet_084,1,2,3,0.030303,0.001502,0.004822
