timestamp,txid,input_wallet,output_wallet,amount,fee,script_type,pattern_label
2026-03-01 00:09:33,TX_000001,wallet_082,wallet_015,0.05876222,6.308e-05,P2PKH,normal
2026-03-01 00:13:06,TX_000002,wallet_029,wallet_018,0.32715625,0.00126333,P2SH,normal
2026-03-01 00:14:27,TX_000003,wallet_070,wallet_012,0.31187574,0.00098357,P2PKH,normal
2026-03-01 00:39:14,TX_000004,wallet_012,wallet_028,0.75022534,0.00098031,P2SH,normal
2026-03-01 00:39:48,TX_000005,wallet_072,wallet_026,0.11113009,0.00045101,P2SH,normal
2026-03-01 00:44:01,TX_000006,wallet_054,wallet_029,0.11881308,0.0003234,P2PKH,normal
2026-03-01 00:51:26,TX_000007,wallet_001,wallet_098,0.00970554,8.929e-05,P2SH,normal
2026-03-01 00:58:29,TX_000008,wallet_044,wallet_036,0.6979859,0.00065156,P2WPKH,normal
2026-03-01 01:17:34,TX_000009,wallet_044,wallet_014,0.1334998,0.00012402,P2PKH,normal
2026-03-01 01:26:51,TX_000010,wallet_045,wallet_078,0.09154833,0.00017782,P2PKH,normal
2026-03-01 01:39:11,TX_000011,wallet_059,wallet_069,0.10483475,0.00012461,P2WPKH,normal
2026-03-01 01:53:47,TX_000012,wallet_011,wallet_071,0.45715378,0.00075245,P2SH,normal
2026-03-01 01:58:00,TX_000454,wallet_072,wallet_026,887.62157421,0.03536492,P2SH,high_value_anomaly
2026-03-01 02:11:54,TX_000013,wallet_047,wallet_074,0.25837662,0.00031928,P2PKH,normal
2026-03-01 02:15:48,TX_000014,wallet_085,wallet_030,0.12020907,0.00051738,P2WPKH,normal
2026-03-01 02:17:18,TX_000015,wallet_030,wallet_013,0.10857603,0.00026309,P2PKH,normal
2026-03-01 02:19:31,TX_000016,wallet_047,wallet_021,0.6955362,0.00138118,P2PKH,normal
2026-03-01 02:42:44,TX_000017,wallet_035,wallet_090,0.06548968,0.00035712,P2SH,normal
2026-03-01 02:56:34,TX_000018,wallet_078,wallet_082,0.18376335,0.00022248,P2SH,normal
2026-03-01 02:57:25,TX_000019,wallet_021,wallet_060,0.16942574,0.00038196,P2WPKH,normal
2026-03-01 03:19:18,TX_000020,wallet_082,wallet_089,0.3560154,0.00105719,P2SH,normal
2026-03-01 03:26:56,TX_000021,wallet_099,wallet_100,6.25871974,0.00239136,P2WPKH,normal
2026-03-01 03:31:11,TX_000022,wallet_041,wallet_052,0.93460404,0.0013696,P2PKH,normal
2026-03-01 04:41:12,TX_000023,wallet_073,wallet_092,0.29006971,0.00052627,P2SH,normal
2026-03-01 05:32:00,TX_000459,wallet_071,wallet_038,1012.34513068,0.03130747,P2SH,high_value_anomaly
2026-03-01 05:32:21,TX_000024,wallet_051,wallet_083,0.64282243,0.00155959,P2PKH,normal
2026-03-01 05:34:22,TX_000025,wallet_032,wallet_096,0.06647679,0.00023951,P2PKH,normal
2026-03-01 05:36:00,TX_000461,wallet_030,wallet_013,518.13884754,0.0232171,P2SH,high_value_anomaly
2026-03-01 05:40:51,TX_000026,wallet_075,wallet_055,0.03337484,0.00020016,P2PKH,normal
2026-03-01 06:16:18,TX_000027,wallet_029,wallet_018,0.04433354,0.00016512,P2PKH,normal
2026-03-01 06:32:06,TX_000028,wallet_007,wallet_015,0.07755953,0.00011584,P2PKH,normal
2026-03-01 06:35:18,TX_000029,wallet_088,wallet_055,0.44867672,0.00140608,P2PKH,normal
2026-03-01 07:01:34,TX_000030,wallet_077,wallet_060,0.64745768,0.00179338,P2WPKH,normal
