ip_address,entity_id,node_type
104.144.51.184,entity_006,peer_node
104.154.83.126,entity_018,wallet_service
104.175.185.30,entity_014,exchange_node
104.24.56.60,entity_005,exchange_node
104.59.211.9,entity_019,relay_node
13.153.120.136,entity_011,peer_node
13.153.17.99,entity_004,peer_node
13.21.142.76,entity_015,exchange_node
13.227.235.165,entity_008,mining_pool
13.57.115.151,entity_007,exchange_node
13.93.57.36,entity_004,wallet_service
172.12.170.59,entity_017,relay_node
172.152.109.9,entity_004,mining_pool
172.156.163.44,unmapped,anonymous_proxy
172.174.190.229,entity_003,mining_pool
172.40.161.41,unmapped,public_peer
172.7.190.71,entity_001,peer_node
172.76.112.41,entity_018,peer_node
172.92.217.89,entity_012,peer_node
185.103.69.17,entity_008,peer_node
185.148.50.181,entity_016,wallet_service
185.27.24.98,entity_011,wallet_service
185.42.95.91,unmapped,anonymous_proxy
185.55.168.128,entity_002,mining_pool
192.130.234.28,entity_016,wallet_service
192.139.245.200,entity_015,mining_pool
192.179.109.88,entity_009,peer_node
198.172.69.180,unmapped,public_peer
198.176.84.216,entity_008,peer_node
198.191.144.138,entity_019,relay_node
198.222.26.98,entity_019,mining_pool
198.234.242.146,entity_002,exchange_node
198.40.96.196,entity_001,wallet_service
198.42.119.98,unmapped,anonymous_proxy
198.58.36.189,entity_002,peer_node
45.117.163.214,entity_020,relay_node
45.192.150.110,entity_016,wallet_service
45.197.165.88,entity_008,peer_node
45.207.12.187,entity_013,relay_node
45.208.223.2,entity_008,relay_node
45.216.164.130,entity_013,peer_node
45.249.129.196,unmapped,public_peer
45.249.142.221,entity_007,relay_node
45.253.21.219,entity_018,exchange_node
45.254.237.164,entity_017,wallet_service
45.40.56.246,entity_010,peer_node
52.1.245.185,entity_018,peer_node
52.138.32.250,entity_014,exchange_node
52.24.194.13,entity_014,wallet_service
52.37.68.36,entity_007,relay_node
